county,address,name,dem,rep,grn,lib,unaf,oth,total,date,dem_perc,rep_perc,grn_perc,lib_perc,unaf_perc,oth_perc
ANNE ARUNDEL,1571,753,106,80,9,11,251,9,466,2018-06-30,22.746781115879827,17.167381974248926,1.9313304721030045,2.3605150214592276,53.862660944206006,1.9313304721030045
BALTIMORE CITY,3147,1212,125,155,28,14,290,9,621,2018-06-30,20.128824476650564,24.9597423510467,4.508856682769726,2.254428341384863,46.69887278582931,1.4492753623188406
BALTIMORE CO.,2546,1459,263,155,26,37,375,29,885,2018-06-30,29.717514124293785,17.51412429378531,2.937853107344633,4.1807909604519775,42.3728813559322,3.2768361581920904
CALVERT,271,139,85,20,0,8,82,4,199,2018-06-30,42.71356783919598,10.050251256281408,0,4.0201005025125625,41.20603015075377,2.0100502512562812
CAROLINE,70,24,21,3,1,2,28,2,57,2018-06-30,36.84210526315789,5.263157894736842,1.7543859649122806,3.508771929824561,49.122807017543856,3.508771929824561
CARROLL,358,166,57,34,0,5,71,2,169,2018-06-30,33.72781065088758,20.118343195266274,0,2.9585798816568047,42.01183431952663,1.183431952662722
CECIL,219,112,49,9,1,1,44,4,108,2018-06-30,45.370370370370374,8.333333333333332,0.9259259259259258,0.9259259259259258,40.74074074074074,3.7037037037037033
CHARLES,378,184,30,88,1,2,37,2,160,2018-06-30,18.75,55.00000000000001,0.625,1.25,23.125,1.25
DORCHESTER,112,42,11,6,0,2,12,1,32,2018-06-30,34.375,18.75,0,6.25,37.5,3.125
FREDERICK,693,278,52,47,10,7,146,2,264,2018-06-30,19.696969696969695,17.803030303030305,3.787878787878788,2.6515151515151514,55.3030303030303,0.7575757575757576
GARRETT,37,22,5,7,1,1,13,3,30,2018-06-30,16.666666666666664,23.333333333333332,3.3333333333333335,3.3333333333333335,43.333333333333336,10
HARFORD,541,252,101,46,8,7,124,5,291,2018-06-30,34.707903780068726,15.807560137457044,2.7491408934707904,2.405498281786942,42.61168384879725,1.718213058419244
