county,dem,rep,grn,lib,unaf,oth,total,date,conf.mailing,inactive,dem_perc,rep_perc,grn_perc,lib_perc,unaf_perc,oth_perc
BALTIMORE CITY,300968,30883,1268,1422,46110,1671,382322,2018-04-30,128,26753,78.72107804416173,8.077745983751916,0.3316576079848923,0.3719377906581363,12.060514435475856,0.43706613796747246
BALTIMORE CO.,307219,142373,1452,3137,91666,4479,550326,2018-04-30,266,27133,55.82491105272148,25.870665750845863,0.26384361269502077,0.5700257665456475,16.65667259042822,0.8138812267637727
CALVERT,23621,26773,139,496,13387,387,64803,2018-04-30,29,4280,36.45047297193032,41.31444531888956,0.2144962424579109,0.7653966637347036,20.65799422866225,0.5971945743252627
CAROLINE,6822,9220,27,109,3868,117,20163,2018-04-30,0,1063,33.83425085552745,45.72732232306701,0.1339086445469424,0.5405941576154342,19.183653226206417,0.5802707930367506
CARROLL,32225,63227,266,915,24217,819,121669,2018-04-30,26,7162,26.48579342313983,51.966400644371205,0.21862594415997502,0.7520403718284855,19.90400184106058,0.673137775439923
CECIL,21326,27778,159,430,14187,556,64436,2018-04-30,26,7480,33.096405735924016,43.109441926873174,0.24675647153764974,0.6673288223974176,22.01719535663294,0.8628716866348004
CHARLES,66845,25144,159,492,18169,496,111305,2018-04-30,22,7771,60.055702798616416,22.590180135663267,0.14285072548403036,0.44202865998832036,16.323615291316653,0.4456223889313149
DORCHESTER,9950,8092,26,115,3017,102,21302,2018-04-30,12,1351,46.709229180358655,37.9870434700967,0.1220542672049573,0.5398554126373111,14.162989390667544,0.4788282790348324
FREDERICK,62734,66432,451,1297,38867,332,170113,2018-04-30,25,11498,36.87784002398406,39.05168917131554,0.2651178922245801,0.762434381852063,22.847754139895248,0.19516439072851574
GARRETT,4239,12743,37,101,2485,131,19736,2018-04-30,2,1324,21.478516416700447,64.56728820429672,0.18747466558573167,0.5117551682205107,12.591203891366032,0.6637616538305634
HARFORD,64210,77367,395,1375,35034,1112,179493,2018-04-30,82,9456,35.77298279041523,43.103073657468535,0.22006429220081006,0.7660465867749717,19.5183099062359,0.6195227669045589
HOWARD,105871,55797,503,1247,47840,1819,213077,2018-04-30,103,14085,49.68673296507835,26.18630823598981,0.2360648967274741,0.585234445763738,22.451977454159763,0.8536820022808657
KENT,5974,4714,29,79,2067,104,12967,2018-04-30,11,858,46.07079509524177,36.353821238528575,0.22364463638466875,0.6092388370478907,15.9404642554176,0.8020359373795019
MONTGOMERY,379132,114198,1645,3040,143242,4650,645907,2018-04-30,386,81699,58.697614362439175,17.680254278092665,0.2546806273968234,0.4706559922713332,22.17687685688497,0.7199178829150327
PR. GEORGE'S,451313,40784,1052,1606,67191,11529,573475,2018-04-30,192,43420,78.69793800950346,7.111731112951741,0.18344304459653865,0.2800470813897729,11.716465408256681,2.0103753433018006
QUEEN ANNE'S,10672,17747,77,254,6617,182,35549,2018-04-30,2,2129,30.02053503614729,49.92264198711637,0.21660243607415117,0.7145067371796675,18.61374440912543,0.5119693943570847
ST. MARY'S,25603,29377,133,540,14351,410,70414,2018-04-30,43,5843,36.360666912829835,41.72039651205726,0.18888289260658392,0.766892947425228,20.380890163887862,0.5822705711932286
SOMERSET,5865,5211,19,58,1815,73,13041,2018-04-30,1,1062,44.97354497354497,39.958592132505174,0.14569434859289931,0.4447511693888505,13.917644352426962,0.5597730235411394
TALBOT,10064,11579,47,160,4882,189,26921,2018-04-30,7,1463,37.383455295122765,43.011032279633,0.17458489654916237,0.5943315627205528,18.134541807510864,0.7020541584636529
WASHINGTON,32027,42387,262,693,19326,474,95169,2018-04-30,81,9033,33.65276508106631,44.5386627998613,0.2752997299540817,0.7281782933518267,20.307032752261765,0.4980613435047127
WICOMICO,26460,22757,144,410,10982,435,61188,2018-04-30,43,4094,43.24377328888017,37.19193305876969,0.23534026279662681,0.6700660260181736,17.947963653003857,0.7109237105314767
WORCESTER,14081,16605,82,247,6962,296,38273,2018-04-30,2,2351,36.79094923314086,43.385676586627646,0.2142502547487785,0.6453635722310768,18.190369189768244,0.7733911634833955
Total,2141975,1007402,9350,21273,707201,31914,3919115,2018-04-30,1703,295181,54.65455849088379,25.70483387193282,0.23857426995635497,0.5428011170889346,18.04491575266355,0.8143164974745574
ALLEGANY,13772,21447,142,288,7220,291,43160,2018-05-30,2,2985,31.90917516218721,49.691844300278035,0.3290083410565338,0.6672845227062094,16.728452270620945,0.6742354031510658
ANNE ARUNDEL,161365,135191,841,2782,83945,1255,385379,2018-05-30,44,20743,41.87176779222532,35.08001214388952,0.2182267326450066,0.7218867660147543,21.782453117580356,0.3256534476450455
BALTIMORE CITY,302321,30851,1261,1433,46472,1694,384032,2018-05-30,27,26544,78.72286684442963,8.033445129572536,0.32835805349554203,0.3731459878343471,12.101074910424131,0.441109074243813
BALTIMORE CO.,307754,142558,1436,3158,91922,4503,551331,2018-05-30,33,26931,55.820187872620984,25.85706227293586,0.26046059445233444,0.5727956527022787,16.672742871342262,0.8167507359462827
CALVERT,23579,27023,140,492,13408,383,65025,2018-05-30,5,4253,36.26143790849673,41.55786236063052,0.21530180699730872,0.7566320645905421,20.619761630142253,0.5890042291426374
CAROLINE,6816,9294,26,109,3858,117,20220,2018-05-30,0,1050,33.70919881305638,45.96439169139466,0.12858555885262118,0.5390702274975272,19.080118694362017,0.5786350148367952
CARROLL,32263,63407,265,924,24247,824,121930,2018-05-30,3,7138,26.460264085950957,52.002788485196426,0.21733781678011976,0.7578118592635119,19.88600016402854,0.6757975887804478
CECIL,21406,27989,159,436,14266,551,64807,2018-05-30,1,7442,33.03038252040675,43.18823583872113,0.24534386717484222,0.6727668307435924,22.01305414538553,0.8502167975681639
CHARLES,67231,25096,159,499,18238,500,111723,2018-05-30,5,7736,60.176507970605876,22.46269792254057,0.14231626433232192,0.4466403515838278,16.32430206850872,0.4475354224286852
DORCHESTER,9929,8142,26,116,3023,103,21339,2018-05-30,2,1342,46.52982801443367,38.155489947982566,0.12184263554993204,0.5436056047612353,14.16654951028633,0.48268428698626925
FREDERICK,63040,66681,446,1306,39017,336,170826,2018-05-30,7,11437,36.90304754545561,39.03445611323803,0.2610843782562373,0.7645206233243184,22.84019996955967,0.19669137016613394
GARRETT,4236,12783,37,105,2491,132,19784,2018-05-30,0,1314,21.411241407197735,64.61281843914274,0.1870198139911039,0.5307319045693489,12.590982612211887,0.6672058228871816
HARFORD,64333,77545,391,1376,35119,1115,179879,2018-05-30,9,9406,35.76459731263794,43.109534742799326,0.2173683420521573,0.7649586666592543,19.52367980698136,0.6198611288699626
HOWARD,106347,55840,503,1250,48018,1817,213775,2018-05-30,11,14022,49.74716407437727,26.120921529645656,0.2352941176470588,0.584726932522512,22.461934276692787,0.8499590691147234
KENT,5998,4726,29,77,2067,104,13001,2018-05-30,0,860,46.134912699023154,36.351049919236985,0.22305976463348975,0.5922621336820245,15.898777017152527,0.7999384662718252
MONTGOMERY,381727,114150,1619,3049,143315,4680,648540,2018-05-30,65,81258,58.8594381225522,17.60107317975761,0.24963764763931293,0.4701329139297499,22.098097264625157,0.7216208714959755
PR. GEORGE'S,452688,40792,1039,1619,67644,11532,575314,2018-05-30,45,43078,78.68537876707329,7.090388900669894,0.18059703049117526,0.28141154221868403,11.757753157406215,2.004470602140744
QUEEN ANNE'S,10707,17817,74,257,6625,182,35662,2018-05-30,1,2114,30.02355448376423,49.960742527059615,0.20750378554203353,0.7206550389770625,18.577197016432056,0.5103471482250014
ST. MARY'S,25675,29527,133,550,14420,410,70715,2018-05-30,4,5801,36.30771406349431,41.75493176836598,0.1880789082938556,0.7777699215159443,20.391713215018033,0.5797921233118858
SOMERSET,5883,5245,20,60,1825,73,13106,2018-05-30,0,1052,44.88783763161911,40.01983824202655,0.15260186174271326,0.45780558522813974,13.924919884022586,0.5569967953609034
TALBOT,10120,11618,47,160,4872,187,27004,2018-05-30,6,1451,37.475929491927126,43.02325581395349,0.17404828914234927,0.5925048141016145,18.041771589394166,0.692490001481262
WASHINGTON,32102,42487,259,701,19402,481,95432,2018-05-30,8,8968,33.63861178640288,44.520705842903844,0.27139743482270096,0.7345544471456116,20.330706681197082,0.5040238075278732
WICOMICO,26526,22811,142,413,11029,435,61356,2018-05-30,5,4064,43.23293565421475,37.1781080904883,0.23143620835778084,0.673120803181433,17.975422126605384,0.7089771171523567
WORCESTER,14055,16745,82,249,6968,291,38390,2018-05-30,0,2333,36.61109663974994,43.61812972128158,0.2135972909611878,0.6486064079187288,18.150560041677522,0.7580098984110445
Total,2149873,1009765,9276,21409,709411,31996,3931730,2018-05-30,283,293322,54.6800772179168,25.682460392753313,0.23592667858677988,0.5445185707055165,18.043227790311136,0.8137893497264563
ALLEGANY,13760,21461,142,288,7220,291,43162,2018-06-30,1,2975,31.879894351512906,49.72197766553913,0.32899309577869423,0.667253602706084,16.72767712339558,0.6742041610676057
ANNE ARUNDEL,161590,135229,829,2782,83878,1259,385567,2018-06-30,7,20564,41.909707002933345,35.07276296985997,0.21500802713925207,0.7215347786506625,21.75445512712447,0.326532094292302
BALTIMORE CITY,303597,30791,1253,1431,46495,1710,385277,2018-06-30,6,26352,78.79966880971352,7.99191231244014,0.3252205556002564,0.37142108145568,12.067940728359076,0.44383651243131567
BALTIMORE CO.,308555,142892,1428,3164,91859,4492,552390,2018-06-30,7,26733,55.85817990912217,25.867955611071885,0.2585130071145387,0.5727837216459386,16.6293741740437,0.813193577001756
CALVERT,23553,27200,141,484,13368,379,65125,2018-06-30,0,4220,36.1658349328215,41.7658349328215,0.21650671785028794,0.7431861804222649,20.526679462571977,0.581957773512476
CAROLINE,6797,9328,26,108,3849,115,20223,2018-06-30,0,1024,33.610245759778465,46.12569846214706,0.12856648370667062,0.5340453938584779,19.0327844533452,0.5686594471641201
CARROLL,32259,63498,265,925,24250,824,122021,2018-06-30,2,7103,26.437252604059957,52.03858352250842,0.2171757320461232,0.7580662345006188,19.873628309881084,0.6752935970037944
CECIL,21412,28063,159,438,14257,549,64878,2018-06-30,0,7279,33.00348346126576,43.25503252258084,0.24507537223712197,0.6751132895588643,21.975091710595272,0.8462036437621381
CHARLES,67516,25034,159,503,18250,500,111962,2018-06-30,0,7659,60.30260266876262,22.359371929761885,0.1420124685161037,0.4492595702113217,16.300173273074794,0.446580089673282
DORCHESTER,9945,8160,25,117,3030,102,21379,2018-06-30,1,1323,46.51761073951074,38.16829599139343,0.11693718134618084,0.5472660087001263,14.172786379157118,0.4771036998924178
FREDERICK,63249,66773,441,1305,38970,337,171075,2018-06-30,2,11338,36.97150372643577,39.03141896828876,0.25778167470407715,0.7628233231039018,22.77948268303376,0.1969896244337279
GARRETT,4235,12803,36,106,2485,130,19795,2018-06-30,0,1311,21.39429148774943,64.6779489770144,0.18186410709775197,0.5354887597878252,12.5536751704976,0.6567314978529932
HARFORD,64385,77616,382,1374,35077,1116,179950,2018-06-30,6,9314,35.77938316198944,43.131981105862735,0.2122811892192276,0.7635454292859127,19.492636843567656,0.6201722700750208
HOWARD,106769,55845,503,1252,47965,1816,214150,2018-06-30,4,13921,49.857109502685034,26.077515759981324,0.2348820919915947,0.5846369367265936,22.39785197291618,0.8480037356992762
KENT,6024,4738,28,77,2058,103,13028,2018-06-30,0,825,46.23887012588271,36.367823150138165,0.21492170709241634,0.5910346945041449,15.796745471292601,0.7906048510899601
MONTGOMERY,383799,113992,1610,3033,142811,4702,649947,2018-06-30,29,80686,59.05081491260057,17.538660844653485,0.24771250578893353,0.4666534348185314,21.972714698275396,0.7234436038630842
PR. GEORGE'S,453334,40739,1040,1629,67722,11531,575995,2018-06-30,6,42827,78.70450264325211,7.07280445142753,0.18055712289169176,0.28281495499092874,11.757393727376106,2.0019271000616325
QUEEN ANNE'S,10732,17854,73,256,6612,182,35709,2018-06-30,0,2080,30.054047999103865,49.998599792769326,0.20443025567784034,0.7169061021031112,18.516340418381922,0.5096754319639306
ST. MARY'S,25685,29557,132,548,14407,405,70734,2018-06-30,0,5744,36.31209884920972,41.786128311703,0.18661464076681653,0.7747335086379958,20.367857041875194,0.572567647807278
SOMERSET,5886,5268,20,60,1829,72,13135,2018-06-30,0,1041,44.811572135515796,40.106585458698135,0.15226494099733537,0.4567948229920061,13.92462885420632,0.5481537875904073
